pop_num,referenced_dataset,obj0,ananlytics_ob0,local_id
0,common_dataset,-0.10576,[-0.10596028305848762],3dce1789-5176-49c9-b7cd-2eb61c39bceb
0,common_dataset,-0.124832,[-0.12512156914562686],e26f3371-e623-448c-8527-08fd11109f15
0,common_dataset,-0.109862,[-0.11008177926968436],72bbd17a-9578-4fbb-bed9-2bea6c82105f
0,common_dataset,-0.115175,[-0.1153551293093756],959497f9-3fb5-43d1-99ad-834f14ddb4cf
0,common_dataset,-0.110249,[-0.11040887194657985],7b9067a7-caf3-41dd-a4cd-4977e4056ec3
0,common_dataset,-0.108444,[-0.10854444661056559],f5dccc02-71af-4023-a12c-5c61c3ef4407
0,common_dataset,-0.106355,[-0.10655458348350015],2798fac9-0898-45bb-88b0-cd72235ac28f
0,common_dataset,-0.130605,[-0.13083544620245194],214f68f4-605d-4b9f-b8cb-d1bc1a50ebec
0,common_dataset,-0.123669,[-0.1238789275282262],ec0e4b8a-f6ed-41da-b449-214a8886bcdb
0,common_dataset,-0.135269,[-0.13555900691779119],64addd17-1e56-4c93-8d4f-5bf25b5fd79f
0,common_dataset,-0.106554,[-0.10667355190966199],abefb184-cd2f-4c48-add7-815a29a47e18
0,common_dataset,-0.148127,[-0.14846737123181672],52bde4a3-62a6-4748-9233-dd17d285703e
0,common_dataset,-0.117191,[-0.11740077339691823],849902b7-0e63-46fb-af34-de6f3b6e09d2
0,common_dataset,-0.120797,[-0.12097731367344391],7bac2981-8c70-4677-bb93-4fc423030d5f
0,common_dataset,-0.126546,[-0.12679557773150235],9a91c251-a558-4c91-8316-1cc58fc3579e
0,common_dataset,-0.112377,[-0.11249728160678896],9be8a037-b987-458b-8b5a-c6ecb124c68f
0,common_dataset,-0.129295,[-0.1295451671148056],9fc820a4-61dd-42b9-89d0-2c97d02ce90e
0,common_dataset,-0.172664,[-0.1728137276852286],c8d1047f-deee-4216-92cf-0c99d1d7bd08
0,common_dataset,-0.12581,[-0.12592029233039276],d9b96e71-2adc-487a-a660-bf50dc04e6f5
0,common_dataset,-0.15728,[-0.1574298608527333],b6323147-10d5-47e0-a51e-ff160c2921cd
0,common_dataset,-0.143484,[-0.14380438138216858],a9a6514b-b542-48ef-abfe-d9313b0b6658
0,common_dataset,-0.106729,[-0.10691892807694109],d660d461-9b0a-4df5-b758-8612d3e38ed9
0,common_dataset,-0.120903,[-0.12112269392267662],f57c070f-e554-4434-8c1f-67e1412b8e70
0,common_dataset,-0.116945,[-0.11724520466675634],138d8561-39b6-41b0-bd65-042a677b13a5
0,common_dataset,-0.114424,[-0.11454377885008331],d6d50b5f-9988-46bb-bbb0-ca254fd55608
0,common_dataset,-0.122044,[-0.12225386575794625],4f0533c4-82b9-4d77-bb9d-0ecce1a775b5
0,common_dataset,-0.127629,[-0.12778908722698243],9942daa2-478f-4b19-9800-439f3257b4f0
0,common_dataset,-0.120199,[-0.12048850886158145],0e765d04-a427-45a8-9a91-07637945e6cb
0,common_dataset,-0.131055,[-0.13120501400509585],803b2732-4f74-4e0a-a26c-d591b50f36fc
0,common_dataset,-0.149979,[-0.15012877340117387],fc28b082-346c-4bdc-b969-cbfff8c87fb9
0,common_dataset,-0.1184,[-0.11865955280444282],e5ccfab4-3ceb-4d51-a734-aa49764cb58c
0,common_dataset,-0.121643,[-0.12178290800757832],035196bb-7536-4d19-a4da-7cfbe6d93657
0,common_dataset,-0.123265,[-0.12352530361002667],2f289bfe-59fd-4c09-a9c8-4a26744a21b3
0,common_dataset,-0.115508,[-0.11574826780720313],17bdb4c8-3c54-47b9-81d2-fbf29ca04448
0,common_dataset,-0.135777,[-0.13603710030974223],911acb99-6b6f-4ee1-85cb-7c5fd01d6f81
0,common_dataset,-0.108999,[-0.10910866180227548],aa2e654f-0d85-417e-aa57-114eb0ddea15
0,common_dataset,-0.116739,[-0.11696872820917455],98e95c24-7c7e-4681-959b-a2088e1be03c
0,common_dataset,-0.123809,[-0.12404874269188047],e59173c6-3159-4ea3-8785-2bb75ff6fa88
0,common_dataset,-0.131095,[-0.13132516917752263],abdb2570-b7c5-4308-92bf-07e5634a5a93
0,common_dataset,-0.119841,[-0.12015121575134823],514b6c62-40af-45ea-bba2-c96edac4220a
0,common_dataset,-0.117334,[-0.1174737832573214],7c187a5c-ce34-40e8-be93-4a76592f07c2
0,common_dataset,-0.134834,[-0.13507434679032107],05ebf927-765b-4836-92aa-2d78b3d6b063
0,common_dataset,-0.130278,[-0.13049844492707385],464343d1-0c26-4177-8d99-c853366ef864
0,common_dataset,-0.125728,[-0.12583762909654012],09858e7e-57e7-4992-9dcd-f4e8e4563542
0,common_dataset,-0.111028,[-0.11123830639264347],7f781721-e7dd-4f91-8766-d5e0b5dd3ce5
0,common_dataset,-0.11945,[-0.11962996840321242],d5f64dac-2a16-4a9c-a00c-5a1e3734d941
0,common_dataset,-0.174047,[-0.17434675448294282],cc4ad5db-a30c-45d9-8c8b-f8b367ddce60
0,common_dataset,-0.150964,[-0.1511342396252956],5685c1d1-1b2a-457c-aea2-76d3173c5c3d
0,common_dataset,-0.116188,[-0.11647796099475773],4faef376-a1ab-499c-82f6-095d5bf0b6a7
0,common_dataset,-0.15621,[-0.15639026679112428],8a0951f8-c1ba-4141-a791-6891b031c52b
0,common_dataset,-0.114752,[-0.11490171015541648],092d616e-ebb2-428f-afae-ae32649930ef
0,common_dataset,-0.110015,[-0.11024502027220796],36e71e25-fc87-41da-af84-e539a0f8ff46
0,common_dataset,-0.117566,[-0.11771605274016185],c0def14f-335b-45fe-818d-8106eea902f1
0,common_dataset,-0.11086,[-0.11098001357317185],cd6fcc0e-4399-4bc0-af6d-a9174d23da68
0,common_dataset,-0.139819,[-0.1401489065661209],87acb507-2cc9-417f-bdde-82c0abba4bd9
0,common_dataset,-0.127943,[-0.12811329279790015],a1f51264-9f00-4a6e-8245-5f67c8e8ddfd
0,common_dataset,-0.117916,[-0.11822630284383015],1f99e460-f60a-4f9c-9f95-e3dbc91126ef
0,common_dataset,-0.139089,[-0.13922865651537425],b0ae7d8e-25f9-4291-8c47-e8459e07a434
0,common_dataset,-0.119921,[-0.12004055609213504],25710172-b783-47bc-a545-5d76c5da3e62
0,common_dataset,-0.147711,[-0.14784128525145593],85a2ddc8-d4e3-4b3f-b4a9-258887cba00b
0,common_dataset,-0.156734,[-0.15701443345302218],55babfce-cd90-48bf-b0fe-88688bc1fdf2
0,common_dataset,-0.117531,[-0.11784145234464108],f6f527b8-7e25-4483-88ac-f88886445ae5
0,common_dataset,-0.138147,[-0.13831657376748385],1f5d0408-944a-4dad-9e1e-675dd2830091
0,common_dataset,-0.120507,[-0.1207571409946491],18dbe5f4-9e9c-4821-95be-48a902ff58a3
0,common_dataset,-0.166403,[-0.16667327964887643],620b6002-1028-48e4-a824-fa0c2a0bd112
0,common_dataset,-0.1228,[-0.12304951946524946],3e8238e8-9bcd-475e-94d9-7a49d51239b9
0,common_dataset,-0.116313,[-0.11648256815145311],237f0662-c743-4ad9-8c12-512c4547ace0
0,common_dataset,-0.139241,[-0.13949092998200616],6aea64e1-2553-46d1-bd05-e7974536fd93
0,common_dataset,-0.161989,[-0.16227891516240858],70213bfc-28d8-4e76-a931-db484695bffe
0,common_dataset,-0.130323,[-0.13049338999400723],cd31bf61-eda0-4a8c-8b0e-f251a72399be
0,common_dataset,-0.132827,[-0.13312659861810316],ca84a41b-0471-4b34-b6a3-ec78f806591f
0,common_dataset,-0.117511,[-0.1176813431215171],9c2ecba4-221e-4f04-bdbe-2766c1e23d37
0,common_dataset,-0.108509,[-0.10872856398306255],48e26493-1911-4ddc-95e9-1dce67901995
0,common_dataset,-0.166165,[-0.1664248135515119],422e7e2d-cfce-40bc-a4d1-841ecd5361b4
0,common_dataset,-0.120067,[-0.12040719710591788],0f5c710e-4041-4f9e-9e45-cc51580a272d
0,common_dataset,-0.116701,[-0.11700096131566085],f05d1512-8674-4a60-85bd-dcbe616726a1
0,common_dataset,-0.128414,[-0.12864372475806524],30b1245f-16aa-4a6e-b7a6-3c4d526649ce
0,common_dataset,-0.124765,[-0.1250052231320507],bd33b920-2815-49b5-a7ff-83286e40514c
0,common_dataset,-0.124719,[-0.1248392314501548],be88e554-ae70-486f-8cac-56f1600be9ce
0,common_dataset,-0.128543,[-0.1287232127589027],5375a512-8d05-4251-844b-e35e572f5c08
0,common_dataset,-0.115785,[-0.11595482632850782],f483bbae-ec79-4dc2-9034-4cbcc4e6a57a
0,common_dataset,-0.125184,[-0.12542371839849234],94379109-d9e4-4dd8-8bbc-e9fef707e51c
0,common_dataset,-0.135039,[-0.1352387198655259],eb3562c2-93f6-4c0a-8432-daafd1e7a4ff
0,common_dataset,-0.131306,[-0.1314864623559166],790872bf-0072-4831-9ab0-134f571dfab5
0,common_dataset,-0.158379,[-0.15859939428714223],ddc74d9b-1e8e-46cc-ad3c-b1da77bd5428
0,common_dataset,-0.107028,[-0.10715770803119087],d6b8b97c-aae9-467d-b585-9c4d8fe13855
0,common_dataset,-0.140874,[-0.14105404278967323],5a869a18-c8a8-402e-bf4e-b2734e52127f
0,common_dataset,-0.106972,[-0.10722214144496733],78f0394f-f966-4fe2-adfe-8ac8a1d39aee
0,common_dataset,-0.139567,[-0.1398168576177055],402adebf-8592-4436-ae57-5da51b7e45e7
0,common_dataset,-0.109177,[-0.10927739910973168],06db5744-6801-4537-9b38-8f4049d9c7ab
0,common_dataset,-0.109805,[-0.11008477809568101],3b28deb9-4f27-483e-a539-a9c00d36ef95
0,common_dataset,-0.130641,[-0.13081068454609368],717c40b8-698c-45f5-a7ff-7f00cac2ff91
0,common_dataset,-0.155205,[-0.15535470254112074],6b9b628d-be8d-44a4-b40d-44d0978cbc2c
0,common_dataset,-0.122643,[-0.1229330397518674],b90ce483-b929-4702-b492-3223ab44b811
0,common_dataset,-0.164493,[-0.1647227142915593],141b8abc-edb3-4426-a28a-5d6e8aa1474f
0,common_dataset,-0.115824,[-0.1161341176031648],8bc00dc5-b1a9-4ef7-a475-44e4cf075389
0,common_dataset,-0.107653,[-0.10781341066542237],7b733884-0590-4533-8a2c-db7ba1d34e9a
0,common_dataset,-0.113457,[-0.1135665232823367],5646f1f8-6a31-499a-93fb-e02bfff07b28
0,common_dataset,-0.129252,[-0.12937184279478617],4b3d022d-047c-4ac3-b70b-b6445835f046
0,common_dataset,-0.12197,[-0.12214974980550455],3028f4c3-3e88-4f50-95c3-6fc8b0ab1f38
0,common_dataset,-0.12941,[-0.12965014206562753],3ab55da6-143d-42de-ab26-d2f3362bb961
0,common_dataset,-0.114614,[-0.11477414331615972],24883baa-689c-4dd5-b8c7-20300c126aaa
0,common_dataset,-0.134383,[-0.13469318703031985],92a4c5de-6c94-4502-a546-11524b054818
0,common_dataset,-0.123348,[-0.12354836661368424],7a8de650-0f48-4b0d-add3-fdb306727772
0,common_dataset,-0.130764,[-0.1310235079303304],556019de-fff3-4214-b12a-f02010bddd7f
0,common_dataset,-0.135372,[-0.13557168953191479],6f9de3fc-4194-40c1-ad32-0c470ce00e80
0,common_dataset,-0.141629,[-0.14187888972986312],e7cea052-14d5-4dc5-9060-0e58ceedf2f5
0,common_dataset,-0.113297,[-0.11349695345049901],1fec35af-4200-4acd-b1f7-eb9aae1ef6b1
0,common_dataset,-0.142469,[-0.14280916823400444],e7087593-2f88-40a3-9896-bd1d38ebb29f
0,common_dataset,-0.112249,[-0.11236877887292],6df408fb-50cd-47e3-b22f-3c026e604a6c
0,common_dataset,-0.116322,[-0.11649217135024566],82e9841b-d49f-40e5-a8f9-353e15c27393
0,common_dataset,-0.117472,[-0.11763229028638879],d8b4d7f5-c620-407f-8341-fe0f03780aa8
0,common_dataset,-0.106593,[-0.10675323464085121],0b08a8d0-d663-4c71-8ea5-3360a19c537a
0,common_dataset,-0.113985,[-0.11417481650158445],c01eaa1f-a882-4f2e-a09f-39cdb09858b0
0,common_dataset,-0.166785,[-0.16696479594264724],cadb568b-d0c9-4aae-8169-db0cb2476055
0,common_dataset,-0.172269,[-0.17257895600527295],1788a0fe-28d2-470a-ba0e-69faee12519f
0,common_dataset,-0.106861,[-0.10706147769470135],3d5608a5-b999-4642-a720-a801788783c4
0,common_dataset,-0.10599,[-0.10610961095564156],fe2d04a2-64ba-4bfe-a609-2f172e5b383d
0,common_dataset,-0.124414,[-0.12454399113958554],55fd3e33-7098-43af-949f-5cda1c0ff81b
0,common_dataset,-0.122389,[-0.1226692809839594],f54626d0-7876-4e19-a03c-c1b1ecd6674f
0,common_dataset,-0.120229,[-0.1203186887439858],14b3cd98-2095-4827-849f-e860a86b0157
0,common_dataset,-0.143539,[-0.14373866193002302],d90e8067-0e30-41be-b42c-b81f16df53d1
0,common_dataset,-0.122547,[-0.12285748860866573],4aa4ea66-353d-4e2c-b4f9-006311922bb0
0,common_dataset,-0.120025,[-0.1202354179686933],a2c13d80-a4ec-458b-9ae0-8626f894cb31
0,common_dataset,-0.109102,[-0.1092923612400027],dca8ea27-50ec-4b34-90ff-0befdb981b9f
0,common_dataset,-0.115631,[-0.11577115122613402],dfb6bdd0-2d73-4f62-b745-c49b2c8e720b
0,common_dataset,-0.1243,[-0.12454027129937482],7907bbd4-0294-4dc7-9d59-2e8584b11aa1
0,common_dataset,-0.141683,[-0.14184316974469713],1322669e-b093-484c-a246-c01df305dc87
0,common_dataset,-0.128481,[-0.1288205679404488],7c58347c-6fb0-49cb-80de-3d16f8c5b13c
0,common_dataset,-0.116729,[-0.11689908993332726],bd29acdc-f265-486d-8490-c50003cbf0b9
0,common_dataset,-0.121072,[-0.12131191443656118],b1ae9b6e-fcc2-4463-bb1c-5d22a15352db
0,common_dataset,-0.108967,[-0.10918658241402672],143619ed-2aea-4cd9-927c-21822481ad43
0,common_dataset,-0.148697,[-0.14887666482165307],fc5a9ee9-8d53-47c3-9d8f-d8965b4b2f79
0,common_dataset,-0.158975,[-0.15917484669155063],f723a7d4-b883-4ebf-abdb-4305949349a8
0,common_dataset,-0.126333,[-0.12649342744925016],dd04eb55-1fee-467f-b99a-ba79dac7fd7f
0,common_dataset,-0.141839,[-0.14209920528239128],a9c85d87-f808-4005-a0e7-851b41fb8c63
0,common_dataset,-0.15287,[-0.15314991405074477],d4e3f1d9-d681-45f4-9e29-08dfe471ff05
0,common_dataset,-0.128522,[-0.12878234992447912],1fcd95d6-40ce-4003-95d9-8f908e7b3287
0,common_dataset,-0.122502,[-0.12271182765885776],ddb5aab9-aa21-40a7-8a97-9454f5ea0290
0,common_dataset,-0.131852,[-0.13208180674475128],d0472474-6eff-487c-946f-9da40b1ed3b1
0,common_dataset,-0.165515,[-0.16579450065868326],4f2a5fcb-0018-41f8-8141-d36f2e9adf56
0,common_dataset,-0.164836,[-0.16513582519873307],bcf603c9-5f0f-4471-87f8-45e7c2a29d0d
0,common_dataset,-0.112455,[-0.11268469698119196],265da1c1-33a3-4233-986e-7f411ee0739c
0,common_dataset,-0.120218,[-0.12048773569979367],30b1ccdd-68ce-401a-aef3-f95d32bda8da
